	0
407	CIR1
408	CIRBP
409	CISD2
410	CITED2
411	CKAP2
412	CKAP5
413	CKLF
414	CKS1B
415	CKS2
416	CLASRP
417	CLCN7
418	CLEC2B
419	CLEC2D
420	CLIC1
421	CLIC3
422	CLINT1
423	CLK1
424	CLK2
425	CLN6
426	CLNS1A
427	CLPP
428	CLPTM1L
429	CLTA
430	CLTB
431	CLTC
432	CLU
433	CMC1
434	CMC2
435	CMPK1
436	CMTM6
437	CMTM7
438	CNBP
439	CNDP2
440	CNIH1
441	CNIH4
442	CNN2
443	CNOT1
444	CNOT11
445	CNOT2
446	CNOT6L
447	CNOT7
448	CNPY2
449	CNPY3
450	COA3
451	COA4
452	COA6
453	COASY
454	COLGALT1
455	COMMD3
456	COMMD5
457	COMMD6
458	COMMD7
459	COMT
460	COPA
461	COPB1
462	COPE
463	COPG1
464	COPS5
465	COPS6
466	COPS7B
467	COPZ1
468	CORO1A
469	CORO1B
470	COTL1
471	COX14
472	COX16
473	COX17
474	COX20
475	COX4I1
476	COX5A
477	COX5B
478	COX6A1
479	COX6B1
480	COX6C
481	COX7A2
482	COX7A2L
483	COX7B
484	COX7C
485	COX8A
486	CPNE1
487	CPNE3
488	CPSF1
489	CPSF3
490	CPSF4
491	CPSF6
492	CRBN
493	CREBRF
494	CRELD2
495	CREM
496	CRIP1
497	CRY2
498	CSDE1
499	CSE1L
500	CSK
501	CSNK1A1
502	CSNK1G2
503	CSNK2B
504	CSRNP1
505	CSRP1
506	CST3
507	CST7
508	CSTB
509	CSTF1
510	CSTF3
511	CTNNA1
512	CTNNB1
513	CTSA
514	CTSB
515	CTSC
516	CTSD
517	CTSH
518	CTSL
519	CTSS
520	CTSW
521	CTSZ
522	CUTA
523	CWC15
524	CXCR4
525	CYB5A
526	CYB5R3
527	CYBA
528	CYBRD1
529	CYC1
530	CYCS
531	CYHR1
532	CYLD
533	CYSTM1
534	CYTH1
535	CYTIP
536	DAD1
537	DAP3
538	DARS
539	DAXX
540	DAZAP1
541	DAZAP2
542	DBF4
543	DBI
544	DBNL
545	DCAF13
546	DCK
547	DCTN2
548	DCTN3
549	DCTPP1
550	DCUN1D5
551	DCXR
552	DDAH2
553	DDIT3
554	DDIT4
555	DDOST
556	DDRGK1
557	DDX1
558	DDX17
559	DDX18
560	DDX21
561	DDX24
562	DDX27
563	DDX39A
564	DDX39B
565	DDX3X
566	DDX41
567	DDX46
568	DDX49
569	DDX5
570	DDX54
571	DDX55
572	DDX56
573	DDX6
574	DECR1
575	DEK
576	DENND5A
577	DENR
578	DEPTOR
579	DERL1
580	DGCR6L
581	DGUOK
582	DHRS7
583	DHX36
584	DHX9
585	DIAPH1
586	DIXDC1
587	DKC1
588	DLGAP4
589	DNAJA1
590	DNAJA2
591	DNAJB1
592	DNAJB11
593	DNAJB14
594	DNAJB6
595	DNAJB9
596	DNAJC1
597	DNAJC15
598	DNAJC19
599	DNAJC2
600	DNAJC3
601	DNAJC7
602	DNAJC8
603	DNAJC9
604	DNASE2
605	DNMT1
606	DNPH1
607	DNTTIP1
608	DNTTIP2
609	DOCK8
610	DOHH
611	DOLPP1
612	DPCD
613	DPH7
614	DPM1
615	DPM2
616	DPM3
617	DPP3
618	DPP7
619	DPP9
620	DPY30
621	DRAM2
622	DRAP1
623	DSTN
624	DTD1
625	DTX2
626	DTYMK
627	DUS1L
628	DUSP1
629	DUSP12
630	DUSP2
631	DUSP23
632	DUSP6
633	DUT
634	DYNC1H1
635	DYNC1I2
636	DYNLL1
637	DYNLRB1
638	DYNLT1
639	E2F3
640	E2F4
641	E4F1
642	EAPP
643	EBNA1BP2
644	EBP
645	EBPL
646	ECH1
647	ECHS1
648	ECT2
649	EDEM2
650	EDF1
651	EEF1B2
652	EEF1D
653	EEF1E1
654	EEF2
655	EFHD2
656	EFNA4
657	EFTUD2
658	EGR1
659	EHMT2
660	EI24
661	EID1
662	EIF1
663	EIF1AD
664	EIF1AX
665	EIF1B
666	EIF2A
667	EIF2AK1
668	EIF2AK2
669	EIF2B5
670	EIF2S2
671	EIF2S3
672	EIF3A
673	EIF3B
674	EIF3D
675	EIF3E
676	EIF3F
677	EIF3G
678	EIF3H
679	EIF3I
680	EIF3J
681	EIF3K
682	EIF3L
683	EIF3M
684	EIF4A2
685	EIF4A3
686	EIF4B
687	EIF4E
688	EIF4E2
689	EIF4E3
690	EIF4EBP1
691	EIF4EBP2
692	EIF4G1
693	EIF4G2
694	EIF4H
695	EIF5
696	EIF5A
697	EIF5B
698	EIF6
699	ELAVL1
700	ELF1
701	ELF3
702	ELK1
703	ELOVL5
704	EMB
705	EMC10
706	EMC3
707	EMC4
708	EMC6
709	EMC7
710	EML4
711	EMP1
712	EMP3
713	ENAH
714	ENGASE
715	ENO1
716	ENOPH1
717	ENSA
718	ENTPD6
719	ENY2
720	EPB41L2
721	EPB41L4A-AS1
722	EPC1
723	EPRS
724	EPS8L1
725	EPSTI1
726	ERAL1
727	ERBB3
728	ERGIC1
729	ERGIC2
730	ERGIC3
731	ERH
732	ERI3
733	ERICH1
734	ERLEC1
735	ERP29
736	ERP44
737	ESD
738	ESF1
739	ETF1
740	ETFA
741	ETFB
742	ETFDH
